# ----------------------------------------
# Привлечение трафика: Основная группа каналов, связанная с сеансом (Группа каналов по умолчанию)
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
"Основная группа каналов, связанная с сеансом (Группа каналов по умолчанию)",Сеансы,Сеансы с взаимодействием,Доля взаимод.,Среднее время взаимодействия на сеанс,Количество событий за сеанс,Количество событий,Ключевые события,Доля сеансов с ключевыми событиями,Общий доход
Paid Search,794,767,0.9659949622166247,38.33627204030227,12.552896725440807,9967,1899,0.9622166246851386,16529.999893
Direct,386,367,0.9507772020725389,52.27979274611399,15.683937823834198,6054,1348,0.9507772020725389,26779.999981
Organic Search,266,240,0.9022556390977443,57.29323308270677,11.221804511278195,2985,593,0.8909774436090225,5340.000068
Referral,87,74,0.8505747126436781,46.35632183908046,15.954022988505747,1388,315,0.8505747126436781,2350.000004
Unassigned,45,17,0.37777777777777777,32.53333333333333,8.4,378,97,0.8888888888888888,370.000019
Cross-network,20,19,0.95,65.45,20.3,406,73,0.85,1420.000004
Email,2,2,1,8,8.5,17,4,1,0
Organic Video,1,1,1,45,6,6,1,1,0
