Отчет о списке сегментов аудиторий
Все время
Название сегмента,Описание,Статус загрузки,Предупреждение,Тип клиента,Тип сегмента,Статус участия,Размер: поисковая сеть,Размер: YouTube,Размер: КМС,Размер: кампания для Gmail
Purchasers of techfil.com.ua,Users who have purchased in the last 540 days, --, --,,Посетители сайта,Открыт,8,8,8,5
Кинули кошик - 30 днів,Положили в корзину но не купили, --, --,,Посетители сайта,Открыт,8,8,8,5
Google-engaged audiences - for Account 5187824119,People who visited your website from the search results page or ads on Google surfaces., --, --,,Посетители сайта,Открыт,330,320,Несовместимо,210
All Users of techfil.com.ua,All users, --, --,"Покупатели, Особо ценные клиенты, Потерявшие интерес",Посетители сайта,Открыт,290,290,360,190
AdWords optimized list,Combined audience based on available data sources, --, --,,Сегмент на основе комбинированного списка,Открыт,<1000,<1000,<1000,<1000
