# ----------------------------------------
# Обычный поисковый трафик Google: Целевая страница + строка запроса
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Целевая страница + строка запроса,Клики по результатам обычного поиска Google,Показы в обычном поиске Google,CTR для кликов по результатам обычного поиска Google,Средняя позиция в результатах обычного поиска Google,Активные пользователи,Сеансы с взаимодействием,Доля взаимод.,Среднее время взаимодействия на активного пользователя,Количество событий,Ключевые события,Доход от объявления
/ru/petg-peth-074-plastyk-filament-dlia-3d-pryntera-zhovtyi-0.75-kh/,0,6,0,10.166666666666666,0,0,0,0,0,0,0
/ru/petg074-750-grey/,0,3,0,11.666666666666666,0,0,0,0,0,0,0
/ru/petg074-750-red/,0,2,0,51,0,0,0,0,0,0,0
/ru/petg074-750-white-ht/,0,6,0,15.833333333333334,3,3,1,7,16,3,0
/ru/petg074-750-white/,0,4,0,20.5,1,1,1,12,5,1,0
/ru/plastyk-dlia-3d-prynteriv/,0,90,0,28.91111111111111,0,0,0,0,0,0,0
/ru/techfil/,0,7,0,1.8571428571428572,0,0,0,0,0,0,0
/yak-sushyty-plastyk-dlia-3d-pryntera/,0,137,0,9.430656934306569,0,0,0,0,0,0,0
,0,0,0,0,23,0,0,23.26086956521739,105,31,0
(not set),0,0,0,0,15,2,0.08,42.733333333333334,61,0,0
/abs/?gad_campaignid=22704008780,0,0,0,0,1,1,1,16,10,1,0
/checkout/,0,0,0,0,1,0,0,11,17,4,0
/kontaktna-informatsiya/,0,0,0,0,2,2,1,0,8,2,0
/petg/?gad_campaignid=22702016573,0,0,0,0,2,1,0.5,7,16,2,0
/petg/filter/color=18/,0,0,0,0,1,1,1,0,6,2,0
/petg/filter/sort_price_high=DESC/,0,0,0,0,1,1,1,0,6,1,0
/petg074-750-yellow/,0,0,0,0,1,1,1,625,74,15,0
/pro-nas/,0,0,0,0,2,2,1,147,65,15,0
/ru/3d-viroby/,0,0,0,0,1,1,1,1,5,1,0
/ru/abs/?gad_campaignid=22698155892,0,0,0,0,2,2,1,4,14,3,0
/ru/abs/?gad_campaignid=22708016098,0,0,0,0,1,1,1,59,9,2,0
/ru/asa/?gad_campaignid=22708016098,0,0,0,0,2,1,0.5,6.5,14,2,0
/ru/petg/?gad_campaignid=22698155892,0,0,0,0,1,1,1,24,13,2,0
/ru/petg/?gad_campaignid=22703537006,0,0,0,0,2,2,1,0,14,1,0
/ru/petg/?gad_campaignid=22708016098,0,0,0,0,1,1,1,129,22,5,0
/ru/petg074-750-blue/,0,0,0,0,1,2,1,0,8,2,0
/ru/petg074-750-green-mixhaky/,0,0,0,0,1,0,0,0,4,1,0
/ru/petg074-750-yellow/,0,0,0,0,1,1,1,0,4,1,0
/ru/pidstavky-kantseliarski/,0,0,0,0,1,1,1,8,11,2,0
/ru/pro-nas/,0,0,0,0,2,1,0.5,29,21,5,0
