Устройство,Расходы,Показы,Kлики
Компьютеры,"1 794,58 грн.",5 128,236
Телефоны,"3 545,32 грн.",10 263,549
Планшеты,"85,38 грн.",145,9
Телевизоры,"0,00 грн.",0,0
