Категория: Все категории
"lbl: (20.06.2024 – 20.06.2025, Украина)"

TOP
LBL,100
Пластмасса,29
Полиэтилентерефталат-гликоль (ПЭТГ) — пластик,25
Волокно для 3D-принтера,17
JBL,13
Принтер,6
Полилактид,6
Трёхмерная графика,5
Lawrence Berkeley National Laboratory,3
Килограмм,3
Печатание,2

RISING
LBL,Сверхпопулярность
Килограмм,Сверхпопулярность
Печатание,Сверхпопулярность
Полиэтилентерефталат-гликоль (ПЭТГ) — пластик,+100 %
Lawrence Berkeley National Laboratory,+60 %

