# ----------------------------------------
# Привлечение лидов: Основная группа каналов, связанная с первым взаимодействием пользователя (Группа каналов по умолчанию)
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
"Основная группа каналов, связанная с первым взаимодействием пользователя (Группа каналов по умолчанию)",Новые потенциальные клиенты,Заинтересованные потенциальные клиенты,Привлеченные клиенты,Доля ключевых событий на пользователя
Cross-network,0,0,0,0.9375
Direct,0,0,0,1
Email,0,0,0,1
Organic Search,0,0,0,1
Organic Video,0,0,0,1
Paid Search,0,0,0,0.9984779299847792
Referral,0,0,0,1
Unassigned,0,0,0,0.2857142857142857
