# ----------------------------------------
# Аудитории: Название аудитории
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Название аудитории,Всего пользователей,Новые пользователи,Сеансы,Просмотров за сеанс,Средняя длительность сеанса,Общий доход
All Users,1091,1074,1592,2.684045226130653,171.2512431136935,52789.999969
Purchasers,32,0,161,3.670807453416149,359.7981983043478,52789.999969
Кинули кошик - 30 днів,31,0,156,3.5705128205128207,333.48487207692307,52419.99995
