Отчет о расширенных корректировках ставок
22 июня 2025 г. - 28 июля 2025 г.
Тип взаимодействия,Кампания,Коррект. ставок,Взаимодействия,Показы,CTR,Код валюты,Ср. цена за клик,Расходы,Покрытие (взаимод.),Коэфф. конверсии,Конверсии,Стоимость/конв.
Звонки,ABS-RU, --,0,0, --,UAH,0,"0,00", --,"0,00%","0,00","0,00"
Звонки,ABS-UA, --,0,0, --,UAH,0,"0,00", --,"0,00%","0,00","0,00"
Звонки,PETG-UA, --,0,0, --,UAH,0,"0,00", --,"0,00%","0,00","0,00"
Звонки,PETG-RU, --,0,0, --,UAH,0,"0,00", --,"0,00%","0,00","0,00"
Звонки,ASA-RU, --,0,0, --,UAH,0,"0,00", --,"0,00%","0,00","0,00"
Звонки,ASA-UA, --,0,0, --,UAH,0,"0,00", --,"0,00%","0,00","0,00"
Итого (Взаимодействия),,,0,0, --,UAH,0,"0,00", --,"0,00%","0,00","0,00"
Итого (Аккаунт),,,795,15 537,"5,12%",UAH,"6,83","5429,57", --,"277,23%","2 204,00","2,46"
Итого (Поиск),,,795,15 537,"5,12%",UAH,"6,83","5429,57", --,"277,23%","2 204,00","2,46"
