Название кампании,Название группы кампаний,Статус кампании,Расходы,Kлики,CTR
PETG-UA,,Включено,"1 075,11 грн.",141,"5,83 %"
PETG-RU,,Включено,"911,76 грн.",155,"5,93 %"
ASA-RU,,Включено,"907,92 грн.",135,"5,17 %"
ABS-RU,,Включено,"857,26 грн.",126,"3,57 %"
ABS-UA,,Включено,"854,78 грн.",127,"4,97 %"
ASA-UA,,Включено,"818,44 грн.",110,"6,10 %"
