# ----------------------------------------
# Когорты на основе источников трафика: Основная группа каналов, связанная с первым взаимодействием пользователя (Группа каналов по умолчанию)
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
"Основная группа каналов, связанная с первым взаимодействием пользователя (Группа каналов по умолчанию)",Новые пользователи,Общий доход,Транзакции,Среднее значение за 120 дней
Paid Search,655,16529.999892,13,25.23664105648855
Direct,212,30549.999989,17,144.10377353301885
Organic Search,183,4320.000051,4,23.606557655737706
Cross-network,16,1020.000017,1,63.7500010625
Referral,5,0,0,0
Email,1,0,0,0
Organic Video,1,0,0,0
Unassigned,1,370.000019,1,370.000019
