Пол,Возрастной диапазон,Показы,доля от известных общих данных
Мужчины,18–24,859,"8,24 %"
Мужчины,25–34,3 015,"28,94 %"
Мужчины,35–44,3 179,"30,51 %"
Мужчины,45–54,1 378,"13,23 %"
Мужчины,55–64,474,"4,55 %"
Мужчины,Старше 65,134,"1,29 %"
Женщины,18–24,158,"1,52 %"
Женщины,25–34,476,"4,57 %"
Женщины,35–44,438,"4,20 %"
Женщины,45–54,177,"1,70 %"
Женщины,55–64,74,"0,71 %"
Женщины,Старше 65,57,"0,55 %"
