# ----------------------------------------
# Путь к покупке: Тип устройства
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Тип устройства,Начало сеанса Активные пользователи,Просмотр товара Активные пользователи,Добавление в корзину Активные пользователи,Начало оформления покупки Активные пользователи,Покупка Активные пользователи
mobile,644,184,27,17,13
desktop,429,149,18,15,10
tablet,5,0,0,0,0
