Отчет об объектах объявлений
22 июня 2025 г. - 28 июля 2025 г.
Статус ресурса,Объект,Тип объекта,Уровень,Статус,Причина статуса,Источник,Последнее обновление,Kлики,Показы,CTR,Код валюты,Ср. цена за клик,Расходы
Включено,https://tpc.googlesyndication.com/simgad/6882799360304049944,Изображение,Кампания,Не допущено,Отклонено,Рекламодатель,"25 июн. 2025 г., 13:49",0,0, --,UAH,0,"0,00"
Включено,https://tpc.googlesyndication.com/simgad/6882799360304049944,Изображение,Кампания,Не допущено,Отклонено,Рекламодатель,"25 июн. 2025 г., 13:51",0,0, --,UAH,0,"0,00"
