# ----------------------------------------
# Источники трафика: Основная группа каналов, связанная с первым взаимодействием пользователя (Группа каналов по умолчанию)
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
"Основная группа каналов, связанная с первым взаимодействием пользователя (Группа каналов по умолчанию)",Всего пользователей,Новые пользователи,Вернувшиеся пользователи,Среднее время взаимодействия на активного пользователя,Сеансы с взаимодействием на активного пользователя,Количество событий,Ключевые события,Доля ключевых событий на пользователя
Paid Search,657,655,91,49.10654490106545,1.1917808219178083,10136,1944,0.9984779299847792
Direct,225,212,44,101.27111111111111,1.8444444444444446,7100,1599,1
Organic Search,185,183,29,76.88108108108108,1.3567567567567567,3121,624,1
Cross-network,16,16,2,143.375,1.5625,590,116,0.9375
Unassigned,14,1,0,46.214285714285715,0.07142857142857142,97,16,0.2857142857142857
Referral,5,5,3,90.4,1.6,134,26,1
Email,1,1,0,16,2,17,4,1
Organic Video,1,1,0,45,1,6,1,1
