Возрастной диапазон,Показы,доля от известных общих данных
18–24,1 020,"9,79 %"
25–34,3 494,"33,53 %"
35–44,3 620,"34,74 %"
45–54,1 555,"14,92 %"
55–64,552,"5,30 %"
Старше 65,191,"1,83 %"
